Round_num,Winner_Id,Loser_Id,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg,WinnerRoundsLost,LoserRoundsLost,WinnerRoundsPlayed,LoserRoundsPlayed,LabelWinnerRoundsWonOverAll,LabelLoserRoundsWonOverAll
1,14,262,80,92.0,817,738.0,2.0,0.0,2.75,1.4,2.65,1.42,2.75,1.44,2.88,1.48,1.06,8.94,2.88,1.53,2.68,1.46,2,1.0,1.0,0,0,0,0,4,1,1,1,2,3,6,4,0.6667,0.25
1,206,103,12,59.0,2878,1035.0,2.0,1.0,1.22,4.0,1.2,4.0,1.25,3.75,1.27,4.22,1.5,2.57,1.27,4.33,1.24,4.0,3,1.0,1.0,1,1,1,1,6,2,1,1,0,3,6,5,1.0,0.4
1,92,232,130,93.0,471,737.0,2.0,1.0,2.2,1.61,1.95,1.72,2.2,1.67,2.24,1.73,1.38,2.99,2.24,1.79,2.15,1.68,3,0.0,0.0,0,0,0,0,1,1,0,0,5,5,6,6,0.1667,0.1667
1,247,208,27,190.0,1840,278.0,2.0,0.0,1.53,2.37,1.5,2.4,1.53,2.5,1.59,2.53,1.61,2.27,1.62,2.67,1.53,2.46,2,1.0,1.0,1,1,1,1,5,1,1,1,1,4,6,5,0.8333,0.2
1,35,94,13,225.0,2843,228.0,2.0,0.0,1.1,7.0,1.12,5.0,1.1,7.0,1.11,8.36,1.04,11.01,1.13,8.5,1.1,7.12,2,1.0,1.0,1,1,1,1,2,0,1,1,1,3,3,3,0.6667,0.0
1,245,185,203,67.0,254,960.0,2.0,1.0,6.5,1.11,5.0,1.12,6.5,1.11,6.58,1.15,1.01,21.57,6.58,1.14,5.98,1.12,3,0.0,0.0,0,0,0,0,1,1,0,0,2,4,3,5,0.3333,0.2
1,71,125,22,55.0,2260,1082.0,2.0,0.0,1.2,4.33,1.25,3.5,1.25,4.0,1.24,4.6,2.14,1.69,1.25,4.33,1.22,4.14,2,1.0,1.0,1,1,1,1,6,0,1,1,0,4,6,4,1.0,0.0
1,153,179,94,112.0,730,594.0,2.0,0.0,1.5,2.5,1.5,2.4,1.53,2.5,1.54,2.66,2.61,1.48,1.54,2.67,1.51,2.55,2,1.0,1.0,1,1,1,1,4,0,1,1,1,1,5,1,0.8,0.0
1,74,183,101,36.0,659,1365.0,2.0,0.0,3.0,1.36,3.0,1.33,3.0,1.4,3.31,1.38,1.13,5.83,3.4,1.4,3.1,1.35,2,0.0,0.0,0,0,0,0,4,3,1,1,2,4,6,7,0.6667,0.4286
1,66,272,4,38.0,5196,1340.0,2.0,1.0,1.06,10.0,1.04,8.5,1.06,9.0,1.07,11.51,1.49,2.59,1.08,11.51,1.06,9.18,3,1.0,1.0,1,1,1,1,5,2,1,1,2,4,7,6,0.7143,0.3333
1,151,12,161,51.0,355,1122.0,2.0,0.0,2.75,1.4,2.7,1.4,2.62,1.5,2.66,1.54,2.99,1.38,2.75,1.54,2.6,1.49,2,0.0,0.0,0,0,0,0,2,0,1,1,1,1,3,1,0.6667,0.0
1,29,127,33,146.0,1520,392.0,2.0,0.0,1.28,3.5,1.28,3.3,1.3,3.5,1.37,3.39,2.4,1.56,1.37,3.6,1.3,3.43,2,1.0,1.0,1,1,1,1,4,0,1,1,1,1,5,1,0.8,0.0
1,202,211,52,170.0,1118,312.0,2.0,0.0,1.3,3.4,1.35,2.9,1.36,3.25,1.36,3.46,1.06,9.23,1.36,3.6,1.33,3.26,2,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2,1,0.5,0.0
1,279,161,83,98.0,794,676.0,2.0,1.0,1.44,2.62,1.5,2.4,1.53,2.5,1.54,2.66,2.16,1.67,1.54,2.75,1.49,2.55,3,1.0,1.0,1,1,1,1,2,5,0,0,0,2,2,7,1.0,0.7143
1,249,139,108,19.0,611,2420.0,2.0,1.0,4.5,1.18,4.75,1.15,4.5,1.2,4.93,1.22,2.36,1.57,4.93,1.22,4.54,1.19,3,0.0,0.0,0,0,0,0,4,6,0,0,2,1,6,7,0.6667,0.8571
1,164,51,54,127.0,1095,482.0,2.0,0.0,1.53,2.37,1.48,2.45,1.57,2.25,1.62,2.39,1.12,6.01,1.64,2.5,1.56,2.39,2,1.0,1.0,1,1,1,1,1,1,0,1,2,1,3,2,0.3333,0.5
1,73,273,15,89.0,2585,754.0,2.0,1.0,1.2,4.33,1.22,3.8,1.22,4.33,1.21,5.02,1.04,10.96,1.22,5.02,1.2,4.47,3,1.0,1.0,1,1,1,1,2,0,1,1,4,2,6,2,0.3333,0.0
1,265,138,102,18.0,644,2450.0,2.0,0.0,3.0,1.36,2.8,1.38,3.25,1.36,3.29,1.39,1.7,2.12,3.4,1.39,3.09,1.36,2,0.0,0.0,0,0,0,0,3,2,1,1,0,2,3,4,1.0,0.5
1,141,244,6,71.0,4301,936.0,2.0,0.0,1.03,15.0,1.01,11.0,1.02,15.0,1.04,15.91,1.57,2.38,1.04,15.91,1.03,12.98,2,1.0,1.0,1,1,1,1,6,2,1,1,0,2,6,4,1.0,0.5
1,30,142,49,68.0,1159,950.0,2.0,0.0,1.4,2.75,1.45,2.5,1.44,2.75,1.49,2.82,1.14,5.57,1.5,2.84,1.45,2.68,2,1.0,1.0,1,1,1,1,3,3,0,1,1,4,4,7,0.75,0.4286
1,120,253,39,141.0,1335,410.0,2.0,0.0,1.53,2.37,1.55,2.3,1.53,2.5,1.59,2.52,1.31,3.35,1.61,2.6,1.55,2.41,2,1.0,1.0,1,1,1,1,1,0,1,1,1,2,2,2,0.5,0.0
1,69,169,40,41.0,1305,1301.0,2.0,0.0,1.33,3.25,1.35,2.9,1.33,3.25,1.31,3.85,1.03,13.47,1.36,3.85,1.3,3.48,2,1.0,1.0,1,1,1,1,7,3,1,1,0,2,7,5,1.0,0.6
1,61,172,56,72.0,1081,906.0,2.0,1.0,1.4,2.75,1.45,2.55,1.44,2.75,1.43,3.1,1.51,2.53,1.45,3.1,1.41,2.86,3,1.0,1.0,1,1,1,1,2,0,1,1,3,1,5,1,0.4,0.0
1,175,28,2,120.0,5850,534.0,2.0,0.0,1.03,17.0,1.01,10.0,1.02,15.0,1.03,18.59,1.07,8.56,1.04,18.59,1.02,14.19,2,1.0,1.0,1,1,1,1,2,0,1,1,0,1,2,1,1.0,0.0
1,20,266,62,84.0,1023,791.0,2.0,1.0,1.5,2.5,1.48,2.45,1.5,2.62,1.61,2.49,5.23,1.15,1.61,2.62,1.53,2.46,3,1.0,1.0,1,1,1,1,3,4,0,0,1,3,4,7,0.75,0.5714
1,31,17,90,100.0,750,663.0,2.0,1.0,2.1,1.66,1.9,1.8,2.0,1.8,2.19,1.76,2.08,1.73,2.25,1.8,2.13,1.7,3,1.0,1.0,0,0,0,0,4,1,1,1,1,2,5,3,0.8,0.3333
1,158,159,65,7.0,978,3405.0,2.0,0.0,2.0,1.72,2.0,1.68,2.1,1.73,2.03,1.88,1.7,2.13,2.2,1.88,2.03,1.77,2,0.0,0.0,0,0,0,0,1,0,1,1,2,2,3,2,0.3333,0.0
1,281,278,28,86.0,1655,787.0,2.0,1.0,1.22,4.0,1.22,3.6,1.25,4.0,1.26,4.35,1.86,1.9,1.28,4.35,1.24,3.93,3,1.0,1.0,1,1,1,1,5,2,1,1,2,1,7,3,0.7143,0.6667
1,64,170,43,79.0,1242,824.0,2.0,1.0,1.44,2.62,1.45,2.55,1.5,2.62,1.58,2.46,1.56,2.39,1.62,2.75,1.49,2.59,3,1.0,1.0,1,1,1,1,2,0,1,1,1,1,3,1,0.6667,0.0
1,269,205,14,104.0,2585,631.0,2.0,1.0,1.28,3.5,1.25,3.5,1.3,3.5,1.33,3.68,1.2,4.46,1.33,3.8,1.29,3.53,3,1.0,1.0,1,1,1,1,4,5,0,0,1,2,5,7,0.8,0.7143
1,100,259,50,61.0,1145,1025.0,2.0,0.0,1.53,2.37,1.6,2.2,1.57,2.38,1.63,2.43,1.37,3.02,1.63,2.5,1.58,2.36,2,1.0,1.0,1,1,1,1,5,2,1,1,2,3,7,5,0.7143,0.4
1,45,111,58,3.0,1051,5740.0,2.0,1.0,3.0,1.36,3.0,1.33,3.0,1.4,3.19,1.41,1.36,3.06,3.2,1.44,3.04,1.37,3,0.0,0.0,0,0,0,0,5,2,1,1,1,5,6,7,0.8333,0.2857
1,219,147,76,237.0,844,209.0,2.0,0.0,1.1,7.0,1.11,5.1,1.11,6.0,1.12,7.58,2.18,1.66,1.13,7.58,1.11,6.51,2,1.0,1.0,1,1,1,1,2,0,1,1,2,1,4,1,0.5,0.0
1,180,4,30,95.0,1550,712.0,2.0,0.0,1.4,2.75,1.4,2.75,1.44,2.75,1.56,2.61,1.43,2.77,1.57,2.75,1.48,2.63,2,1.0,1.0,1,1,1,1,4,0,1,1,3,3,7,3,0.5714,0.0
1,75,13,74,311.0,879,130.0,2.0,0.0,1.25,3.75,1.28,3.3,1.29,3.75,1.3,3.88,1.29,3.57,1.32,3.88,1.27,3.64,2,1.0,1.0,1,1,1,1,4,0,1,1,2,3,6,3,0.6667,0.0
1,107,108,45,106.0,1200,628.0,2.0,0.0,1.16,5.0,1.16,4.5,1.17,5.0,1.18,5.61,1.12,5.97,1.18,6.1,1.16,5.15,2,1.0,1.0,1,1,1,1,1,0,1,1,4,1,5,1,0.2,0.0
1,267,72,111,26.0,604,1940.0,2.0,1.0,3.75,1.25,3.3,1.28,3.75,1.29,3.42,1.37,1.1,6.91,3.75,1.37,3.39,1.31,3,0.0,0.0,0,0,0,0,2,0,1,1,3,2,5,2,0.4,0.0
1,177,112,47,37.0,1170,1345.0,2.0,0.0,2.25,1.57,2.25,1.58,2.25,1.62,2.19,1.76,1.17,4.95,2.35,1.76,2.2,1.66,2,0.0,0.0,0,0,0,0,3,2,1,1,1,3,4,5,0.75,0.4
1,98,146,25,85.0,1951,790.0,2.0,0.0,1.1,7.0,1.11,5.0,1.12,6.0,1.13,7.21,1.1,6.59,1.13,7.25,1.11,6.47,2,1.0,1.0,1,1,1,1,2,1,1,1,2,4,4,5,0.5,0.2
1,47,131,24,42.0,2050,1290.0,2.0,1.0,1.5,2.5,1.45,2.55,1.5,2.62,1.54,2.66,1.38,2.97,1.54,3.0,1.48,2.62,3,1.0,1.0,1,1,1,1,4,0,1,1,0,6,4,6,1.0,0.0
1,76,57,9,126.0,3150,483.0,2.0,0.0,1.08,8.0,1.08,6.5,1.06,9.0,1.08,9.95,1.08,7.61,1.1,10.5,1.07,8.48,2,1.0,1.0,1,1,1,1,2,0,1,1,0,1,2,1,1.0,0.0
1,77,239,69,492.0,949,57.0,2.0,0.0,1.4,2.75,1.4,2.75,1.5,2.62,1.5,2.8,10.49,1.05,1.51,2.88,1.44,2.71,2,1.0,1.0,1,1,1,1,5,0,1,1,2,1,7,1,0.7143,0.0
1,255,67,78,113.0,830,589.0,2.0,1.0,1.33,3.25,1.38,2.8,1.4,3.0,1.46,2.95,1.3,3.49,1.46,3.25,1.39,2.92,3,1.0,1.0,1,1,1,1,1,1,0,1,1,4,2,5,0.5,0.2
1,0,43,44,156.0,1230,365.0,2.0,0.0,1.16,5.0,1.2,4.0,1.17,5.0,1.22,4.85,1.79,2.0,1.22,5.05,1.19,4.61,2,1.0,1.0,1,1,1,1,4,0,1,1,2,2,6,2,0.6667,0.0
1,192,212,29,64.0,1552,979.0,2.0,1.0,1.4,2.75,1.42,2.65,1.83,1.83,1.58,2.56,1.06,8.75,1.83,2.88,1.52,2.52,3,1.0,1.0,1,1,1,1,3,2,1,1,0,4,3,6,1.0,0.3333
1,40,240,32,48.0,1538,1160.0,2.0,1.0,1.33,3.25,1.33,2.9,1.4,3.0,1.37,3.39,1.33,3.24,1.4,3.39,1.35,3.15,3,1.0,1.0,1,1,1,1,7,0,1,1,0,2,7,2,1.0,0.0
1,84,140,16,148.0,2560,383.0,2.0,1.0,1.16,5.0,1.14,4.75,1.17,5.0,1.21,4.99,1.64,2.22,1.21,5.0,1.18,4.75,3,1.0,1.0,1,1,1,1,1,1,0,1,0,5,1,6,1.0,0.1667
1,114,36,11,82.0,2886,800.0,2.0,0.0,1.2,4.33,1.18,4.0,1.2,4.5,1.24,4.61,2.13,1.7,1.24,4.9,1.21,4.46,2,1.0,1.0,1,1,1,1,2,3,0,0,4,4,6,7,0.3333,0.4286
1,86,60,184,171.0,297,312.0,2.0,1.0,1.4,2.75,1.45,2.5,1.44,2.75,1.53,2.69,1.38,2.96,1.57,2.85,1.47,2.63,3,0.0,0.0,1,1,1,1,1,0,1,1,0,1,1,1,1.0,0.0
1,126,243,17,96.0,2482,706.0,2.0,0.0,1.08,8.0,1.08,6.0,1.08,8.0,1.1,8.67,1.25,3.89,1.1,9.15,1.08,7.76,2,1.0,1.0,1,1,1,1,6,3,1,1,1,4,7,7,0.8571,0.4286
1,62,95,75,46.0,863,1180.0,2.0,1.0,2.75,1.4,2.8,1.38,2.75,1.4,2.95,1.46,1.81,1.97,4.0,1.53,2.84,1.42,3,0.0,0.0,0,0,0,0,3,2,1,1,0,3,3,5,1.0,0.4
1,276,223,87,165.0,772,343.0,2.0,0.0,1.53,2.37,1.55,2.3,1.57,2.38,1.71,2.27,1.25,3.83,1.71,2.38,1.63,2.24,2,1.0,1.0,1,1,1,1,3,0,1,1,2,2,5,2,0.6,0.0
1,63,233,118,5.0,565,4341.0,1.0,1.0,15.0,1.03,10.0,1.02,15.0,1.02,13.89,1.05,1.08,7.55,15.0,1.05,12.38,1.03,2,0.0,0.0,0,0,0,0,1,4,0,0,0,2,1,6,1.0,0.6667
1,238,171,91,70.0,743,947.0,1.0,1.0,2.25,1.57,2.3,1.55,2.25,1.62,2.29,1.7,3.86,1.25,2.5,1.7,2.25,1.63,2,0.0,0.0,0,0,0,0,3,0,1,1,1,2,4,2,0.75,0.0
1,241,59,172,157.0,311,363.0,2.0,0.0,1.33,3.25,1.38,2.8,1.4,3.0,1.38,3.33,2.36,1.58,1.4,3.33,1.36,3.11,2,0.0,0.0,1,1,1,1,3,0,1,1,2,3,5,3,0.6,0.0
1,152,173,31,329.0,1545,120.0,2.0,0.0,1.1,7.0,1.12,5.0,1.11,6.5,1.12,7.54,1.56,2.39,1.12,7.54,1.1,6.69,2,1.0,1.0,1,1,1,1,4,0,1,1,3,1,7,1,0.5714,0.0
1,218,32,53,105.0,1100,629.0,2.0,0.0,1.25,3.75,1.28,3.3,1.29,3.75,1.3,3.9,2.82,1.42,1.3,3.9,1.27,3.67,2,1.0,1.0,1,1,1,1,3,0,1,1,1,2,4,2,0.75,0.0
1,225,21,57,21.0,1055,2280.0,2.0,0.0,2.37,1.53,2.2,1.6,2.38,1.57,2.45,1.62,1.41,2.85,2.45,1.63,2.34,1.58,2,0.0,0.0,0,0,0,0,3,1,1,1,2,5,5,6,0.6,0.1667
1,123,24,81,109.0,808,609.0,2.0,1.0,1.5,2.5,1.55,2.25,1.53,2.5,1.62,2.45,1.94,1.82,1.62,2.5,1.55,2.42,3,1.0,1.0,1,1,1,1,1,1,0,1,0,5,1,6,1.0,0.1667
1,58,25,60,514.0,1025,54.0,2.0,0.0,1.1,7.0,1.09,6.0,1.1,7.0,1.13,7.04,1.07,8.1,1.13,7.04,1.11,6.47,2,1.0,1.0,1,1,1,1,5,0,1,1,2,1,7,1,0.7143,0.0
1,162,156,20,97.0,2416,693.0,2.0,0.0,1.9,1.8,1.85,1.8,1.91,1.91,1.99,1.92,2.08,1.73,2.08,1.92,1.92,1.86,2,1.0,1.0,0,0,0,0,6,4,1,1,0,3,6,7,1.0,0.5714
1,194,163,63,66.0,1005,975.0,2.0,1.0,1.4,2.75,1.42,2.65,1.44,2.75,1.47,2.9,1.24,3.98,1.47,3.0,1.42,2.79,3,1.0,1.0,1,1,1,1,1,0,1,1,0,4,1,4,1.0,0.0
1,118,15,1,77.0,9030,832.0,2.0,0.0,1.01,21.0,1.01,10.5,1.02,15.0,1.02,21.49,1.09,7.3,1.03,26.0,1.02,17.16,2,1.0,1.0,1,1,1,1,5,2,1,1,0,2,5,4,1.0,0.5
1,224,7,88,35.0,757,1450.0,2.0,0.0,2.1,1.66,2.15,1.62,2.2,1.67,2.05,1.81,1.37,3.02,2.25,1.81,2.16,1.68,2,0.0,0.0,0,0,0,0,3,0,1,1,2,3,5,3,0.6,0.0
1,218,159,41,33.0,1225,1490.0,2.0,1.0,1.72,2.1,1.65,2.1,1.73,2.1,1.72,2.25,1.16,5.03,1.75,2.25,1.71,2.13,3,0.0,0.0,1,1,1,1,3,0,1,1,1,2,4,2,0.75,0.0
1,76,208,31,84.0,1523,735.0,2.0,0.0,1.12,6.0,1.1,5.9,1.13,6.0,1.13,7.18,1.1,6.48,1.15,7.18,1.12,6.3,2,1.0,1.0,1,1,1,1,2,1,1,1,0,4,2,5,1.0,0.2
1,206,204,16,85.0,2780,708.0,2.0,0.0,1.33,3.4,1.3,3.2,1.61,2.28,1.33,3.66,2.12,1.7,1.36,3.66,1.31,3.38,2,1.0,1.0,1,1,1,1,6,0,1,1,0,1,6,1,1.0,0.0
1,142,225,82,51.0,758,1130.0,2.0,1.0,2.75,1.44,2.65,1.42,2.5,1.53,2.75,1.51,1.02,14.19,2.81,1.53,2.7,1.46,3,0.0,0.0,0,0,0,0,3,3,0,0,4,2,7,5,0.4286,0.6
1,183,255,47,128.0,1165,424.0,2.0,1.0,1.11,6.5,1.1,5.9,1.1,7.0,1.14,6.73,1.6,2.31,1.14,7.0,1.12,6.32,3,1.0,1.0,1,1,1,1,3,1,1,1,4,1,7,2,0.4286,0.5
1,192,111,40,1.0,1265,7035.0,2.0,0.0,2.62,1.5,2.5,1.47,2.5,1.53,2.82,1.49,1.77,2.02,2.82,1.53,2.59,1.5,2,0.0,0.0,0,0,0,0,3,2,1,1,0,5,3,7,1.0,0.2857
1,249,263,49,144.0,1148,389.0,2.0,0.0,1.2,4.5,1.19,4.2,1.2,4.5,1.22,4.85,1.12,6.15,1.23,4.85,1.21,4.46,2,1.0,1.0,1,1,1,1,4,0,1,1,2,1,6,1,0.6667,0.0
1,73,185,9,61.0,4310,1055.0,2.0,0.0,1.14,5.5,1.15,4.75,1.11,6.5,1.2,5.27,1.29,3.53,1.2,7.0,1.15,5.53,2,1.0,1.0,1,1,1,1,2,1,1,1,4,4,6,5,0.3333,0.2
1,238,221,90,267.0,672,183.0,2.0,1.0,2.37,1.57,2.3,1.55,2.1,1.73,2.48,1.61,5.96,1.12,2.48,1.74,2.27,1.63,3,1.0,1.0,0,0,0,0,3,3,0,0,1,2,4,5,0.75,0.6
1,169,87,42,140.0,1223,401.0,2.0,0.0,1.61,2.3,1.57,2.25,1.62,2.25,1.6,2.51,1.2,4.4,1.65,2.51,1.61,2.31,2,1.0,1.0,1,1,1,1,3,2,1,1,2,3,5,5,0.6,0.4
1,279,202,155,25.0,353,1746.0,2.0,0.0,7.0,1.1,5.9,1.1,6.5,1.11,7.24,1.13,1.71,2.11,7.5,1.13,6.77,1.1,2,0.0,0.0,0,0,0,0,2,1,1,1,0,1,2,2,1.0,0.5
1,114,75,11,52.0,3941,1120.0,2.0,0.0,1.36,3.25,1.32,3.1,1.4,3.0,1.35,3.51,1.15,5.25,1.4,3.51,1.35,3.2,2,1.0,1.0,1,1,1,1,2,4,0,0,4,2,6,6,0.3333,0.6667
1,278,148,117,80.0,455,783.0,2.0,0.0,1.4,3.0,1.33,3.05,1.4,3.0,1.4,3.25,1.42,2.79,1.4,3.25,1.37,3.04,2,0.0,0.0,1,1,1,1,2,0,1,1,1,2,3,2,0.6667,0.0
1,161,92,98,65.0,626,1003.0,2.0,1.0,1.9,1.9,1.8,1.9,1.91,1.91,1.85,2.07,1.26,3.78,1.94,2.07,1.86,1.94,3,0.0,0.0,0,1,1,1,5,1,1,1,2,5,7,6,0.7143,0.1667
1,140,0,56,93.0,1092,647.0,2.0,0.0,2.3,1.61,2.2,1.6,2.2,1.67,2.31,1.69,1.59,2.32,2.35,1.69,2.25,1.63,2,1.0,1.0,0,0,0,0,1,4,0,0,5,2,6,6,0.1667,0.6667
1,98,262,7,62.0,4480,1053.0,2.0,0.0,1.4,3.0,1.37,2.85,1.4,3.0,1.45,2.97,1.35,3.1,1.46,3.25,1.39,2.98,2,1.0,1.0,1,1,1,1,2,1,1,1,2,3,4,4,0.5,0.25
1,58,245,29,204.0,1550,272.0,2.0,0.0,1.12,6.0,1.11,5.6,1.14,5.5,1.14,6.62,1.92,1.85,1.16,6.62,1.13,6.01,2,1.0,1.0,1,1,1,1,5,1,1,1,2,2,7,3,0.7143,0.3333
1,106,37,114,106.0,459,539.0,2.0,0.0,1.72,2.1,1.72,2.0,1.8,2.0,1.79,2.14,3.14,1.35,1.84,2.14,1.76,2.05,2,0.0,0.0,1,1,1,1,3,3,0,1,2,2,5,5,0.6,0.6
1,34,72,105,63.0,551,1025.0,2.0,0.0,2.0,1.8,1.95,1.75,2.0,1.8,2.0,1.91,2.94,1.39,2.05,1.91,1.96,1.83,2,0.0,0.0,0,0,0,0,1,0,1,1,1,2,2,2,0.5,0.0
1,36,7,53,54.0,1110,1110.0,2.0,0.0,1.22,4.33,1.21,3.95,1.22,4.33,1.3,3.89,1.47,2.64,1.3,4.33,1.24,4.04,2,1.0,0.0,1,1,1,1,3,0,1,1,4,3,7,3,0.4286,0.0
1,66,4,5,78.0,4636,790.0,2.0,0.0,1.3,3.5,1.25,3.6,1.33,3.4,1.29,4.01,1.08,7.94,1.33,4.01,1.28,3.65,2,1.0,1.0,1,1,1,1,5,0,1,1,2,3,7,3,0.7143,0.0
1,78,174,12,337.0,3915,126.0,2.0,1.0,1.02,17.0,1.02,10.0,1.03,12.0,1.06,12.98,1.42,2.78,1.06,17.0,1.03,12.58,3,1.0,1.0,1,1,1,1,2,0,1,1,1,1,3,1,0.6667,0.0
1,77,243,34,75.0,1490,800.0,2.0,0.0,2.2,1.66,2.1,1.65,2.25,1.62,2.16,1.78,1.17,4.95,2.3,1.78,2.17,1.68,2,1.0,1.0,0,0,0,0,5,3,1,1,2,4,7,7,0.7143,0.4286
