WTP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,PlayerA,PlayerB,Arank,Brank,Apts,Bpts,B365A,B365B
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zhang S.,Frech M.,30,87,1355,720,3.75,1.28
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Podoroska N.,Ponchet J.,101,123,639,566,1.66,2.20
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kostyuk M.,Sabalenka A.,39,2,1225,7541,6.50,1.11
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Udvardy P.,Shymanovich I.,95,211,675,335,2.75,1.44
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Parrizas Diaz N.,Hunter S.,93,202,679,346,1.80,2.00
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Linette M.,Fernandez L.A.,21,51,1825,1023,1.90,1.90
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Sakkari M.,Muchova K.,8,42,3391,1125,1.90,1.90
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bejlek S.,Rakhimova K.,180,85,385,735,2.00,1.80
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cornet A.,Giorgi C.,59,36,920,1278,2.75,1.44
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Tauson C.,Sasnovich A.,126,50,541,1034,1.66,2.20
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mertens E.,Hruncakova V.,28,136,1439,520,1.11,6.50
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Jeanjean L.,Birrell K.,129,111,539,590,2.00,1.80
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zidansek T.,Zheng Q.,110,19,604,1998,4.50,1.20
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Townsend T.,Potapova A.,108,24,609,1665,2.75,1.44
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Niemeier J.,Kasatkina D.,72,9,789,3275,3.75,1.28
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bondar A.,Begu I.,103,27,635,1452,3.20,1.36
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Errani S.,Teichmann J.,70,75,802,768,3.20,1.36
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Sherif M.,Brengle M.,55,94,973,677,1.28,3.75
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Collins D.,Pegula J.,45,3,1073,5205,4.50,1.20
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Samsonova L.,Volynets K.,15,90,2236,690,1.28,3.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Masarova R.,Gauff C.,68,6,816,4305,4.50,1.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kontaveit A.,Pera B.,73,38,779,1237,1.90,1.90
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Azarenka V.,Andreescu B.,18,41,2087,1142,1.50,2.62
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Janicijevic S.,Dodin O.,188,121,369,567,2.37,1.57
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Swiatek I.,Bucsa C.,1,67,8940,820,01.01,26.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Yastremska D.,Vekic D.,144,22,480,1813,2.50,1.53
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Hibino N.,Friedsam A.L.,112,92,589,680,2.37,1.57
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,McNally C. ,Bogdan A.,54,60,979,918,2.10,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bronzetti L.,Jabeur O.,102,7,637,3541,4.50,1.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Maria T.,Haddad Maia B.,64,14,855,2420,4.50,1.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Andreeva M.,Riske A.,143,83,481,741,1.10,7.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kalinskaya A.,Navarro E.,53,82,985,745,1.66,2.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Gracheva V. ,Galfi D.,44,96,1102,674,1.28,3.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kvitova P. ,Cocciaretto E.,10,43,3162,1115,1.80,2.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ostapenko J.,Martincova T.,17,91,2130,683,1.14,5.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Blinkova A.,Bonaventure Y.,66,81,821,746,1.44,2.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kudermetova V.,Schmiedlova A.,11,98,2950,666,1.083,8.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Wang Xin.,Bouzkova M.,78,32,763,1318,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Pavlyuchenkova A.,Fruhvirtova L.,424,56,119,963,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bolsova A.,Kucova K.,131,443,531,112,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Rus A.,Grabher J.,113,74,586,769,1.57,2.37
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Alexandrova E.,Tomova V.,23,71,1725,797,1.33,3.40
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Martic P.,Rogers S.,37,33,1270,1303,1.61,2.30
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Burel C.,Sorribes Tormo S.,122,132,566,529,3.00,1.40
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Stearns P.,Siniakova K.,69,47,806,1057,1.40,3.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Rybakina E.,Fruhvirtova B.,4,146,5090,477,1.071,9.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Waltert S.,Mandlik E. ,127,118,540,574,2.10,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,In-Albon Y.,Liu C.,148,100,463,659,2.20,1.66
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Vondrousova M.,Parks A.,57,49,936,1049,1.071,9.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Pliskova Kr.,Stephens S.,16,35,2160,1280,1.66,2.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Danilovic O.,Kozlova K.,104,80,625,748,1.22,4.33
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Avanesyan E.,Bencic B.,134,12,522,2750,7.00,1.10
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zhu L.,Davis L.,40,58,1175,931,3.00,1.40
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Marino R.,Shnaider S.,79,107,758,616,2.62,1.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Noskova L.,Kovinic D.,48,65,1050,852,1.72,2.10
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Garcia C.,Wang Xiy.,5,62,5025,909,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kanepi K.,Keys M.,76,20,768,1861,4.50,1.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kalinina A.,Parry D.,25,77,1657,764,1.30,3.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cristea S. ,Paolini J.,31,52,1327,1005,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Tsurenko L. ,Krejcikova B. ,63,13,883,2680,3.40,1.33
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Peterson R.,Ferro F. ,86,462,730,103,1.66,2.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Day K.,Mladenovic K. ,138,165,509,420,1.20,4.50
,Paris,French Open,,Grand Slam,Outdoor,Clay,1st Round,5,Svitolina E. ,Trevisan M. ,508,26,87,1608,1.90,1.90
,Paris,French Open,,Grand Slam,Outdoor,Clay,1st Round,5,Putintseva Y. ,Zanevska M.,61,88,916,717,1.44,2.75